ASIN,Title,Subtitles,Language,Release year,Release date,Rated,Run time,Description,Contributors,Actors,Directors,Producers,Media Format,Genres,Customer Reviews,IMDb,Number of discs,Studio
B000OIOSF6,,,,,,,,,,,,,,,,,,
B0070225F4,,,,,,,,,,,,,,,,,,
B000IZJR3I,,,,,,,,,,,,,,,,,,
1562229567,,,,,,,,,,,,,,,,,,
6300157423,,,,,,,,,,,,,,,,,,
B0023S4A12,,,,,,,,,,,,,,,,,,
B008FPU7AA,One Body Too Many,,,,"June 28, 2012",,1 hour and 15 minutes,,,"Jack Haley, Jean Parker, Bela Lugosi",,,,,,5.4,,AFA Entertainment LLC
B001CCMLR0,,,,,,,,,,,,,,,,,,
B004ZWHZUC,,,,,,,,,,,,,,,,,,
B0071AD95K,Louie Giglio - Hope: When Life Hurts Most (Passion Talk Series),,English,,"August 28, 2012",,51 minutes,Life isn t easy. We experience problems and setbacks every day. But during,,Louie Giglio,,,,,,,,sixstepsrecords
B004BH1TN0,"Bee Gees - Live By Request (Import, All Regions)",,,,,,,,,,,,,,,,1,
B004XSUBE0,,,,,,,,,,,,,,,,,,
6300147967,,,,,,,,,,,,,,,,,,
0790747324,The Time Machine [DVD],,"French, English",,"January 1, 1960",G,1 hour and 43 minutes,A time travel inventor travels to the future where the passive Eloi are in danger of becoming prey to subterranean mutants called Morlocks.,"James Skelly, Josephine Powell, Sebastian Cabot, H.G. Wells, Rod Taylor, Alan Young, Yvette Mimieux, David Duncan, George Pal, Bob Barran, Paul Frees, Whit Bissell, Tom Helmore, Doris Lloyd","Rod Taylor, Alan Young, Yvette Mimieux, Sebastian Cabot, Tom Helmore",,,"DVD, Letterboxed, NTSC, Widescreen, Color, Dolby, Closed-captioned",Drama,,7.5,,Metro-Goldwyn-Mayer (MGM)
630436119X,,,,,,,,,,,,,,,,,,
B00004CQTP,,,,,,,,,,,,,,,,,,
B0050QNO2K,,,,,,,,,,,,,,,,,,
B0001G6PZC,The Last Samurai,,,,,,,,,,,,,,,7.8,2,
B001GBPZRU,,,,,,,,,,,,,,,,,,
B000056PNI,,,,,,,,,,,,,,,,,,
B000OIOSFG,,,,,,,,,,,,,,,,,,
6305508569,,,,,,,,,,,,,,,,,,
B0006FFRD4,,,,,,,,,,,,,,,,,,
B004TWOX26,,,,,,,,,,,,,,,,,,
B000CDSS86,,,,,,,,,,,,,,,,,,
B000056PNH,,,,,,,,,,,,,,,,,,
B0016OLXN2,Broken Trail [Blu-ray],,"English, French, Spanish, Portuguese",,"June 10, 2008",NR,3 hours and 4 minutes,"Top-rated miniseries! Set in 1897, Print Ritter and his estranged nephew Tom Harte become the reluctant guardians of five abused and abandoned Chinese girls. Ritter and Harte's attempts to care for the girls are complicated by their responsibility to deliver a herd of horses while avoiding a group of bitter rivals intent on kidnapping the girls for their own purposes.","Alan Geoffrion, Scott Cooper, Michael Frislev, Robert Duvall, Butcher's Run Films; SLR Productions, Inc., Chris Mulkey, Chad Oakes, Damian Ganczewski, Ronald Parker, Caroline Chan, Todd Allen, Olivia Cheng, Valerie Tian, Rusty Schwimmer, Walter Hill, Donald Fong, Gwendoline Yeo, Thomas Church, Greta Scacchi, James Russo, Jadyn Wong","Robert Duvall, Thomas Church, Greta Scacchi, Chris Mulkey, Rusty Schwimmer",,,"Dolby, Dubbed, Subtitled, Widescreen, NTSC, AC-3, Color, Blu-ray","Western, Drama",,7.7,,Sony Pictures Home Entertainment
6303257933,,,,,,,,,,,,,,,,,,
B0092MDYV4,,,,,,,,,,,,,,,,,,
0800103688,,,,,,,,,,,,,,,,,,
B000063W82,,,,,,,,,,,,,,,,,,
B00004CQTF,,,,,,,,,,,,,,,,,,
B0036Q2RR4,,,,,,,,,,,,,,,,,,
B0002BO0V2,,,,,,,,,,,,,,,,,,
6304286961,,,,,,,,,,,,,,,,,,
6301248546,,,,,,,,,,,,,,,,,,
B007EMEOEA,,,,,,,,,,,,,,,,,,
B0000060T0,,,,,,,,,,,,,,,,,,
B000XEDVEA,,,,,,,,,,,,,,,,,,
B000BB1NFO,,,,,,,,,,,,,,,,,,
B0009Y2LTU,,,,,,,,,,,,,,,,,,
B00005226W,,,,,,,,,,,,,,,,,,
6305949816,,,,,,,,,,,,,,,,,,
1888617047,Piano For Quitters [VHS],,,,,NR,,,,,,,,,,,,
B00020HBN2,,,,,,,,,,,,,,,,,,
B003BUAP10,,,,,,,,,,,,,,,,,,
B000056PNV,,,,,,,,,,,,,,,,,,
B000GAKJXM,,,,,,,,,,,,,,,,,,
B0001BMMEA,,,,,,,,,,,,,,,,,,
B0099VUXCQ,,,,,,,,,,,,,,,,,,
B0036DBMMI,,,,,,,,,,,,,,,,,,
B000UGBOT0,,,,,,,,,,,,,,,,,,
B002B900BM,Tarzan's Savage Fury,,,,,NR,,,,,,,,,,5.7,,
B0036BDQ38,Nana Uncut Box Set 4,,,,,Unrated,,,,,,,,,,,,
B00022VM5S,Power Rangers Ninja Storm [VHS],,,,,,,,"Jackie Marchand, Pua Magasiva, Megan Nicol, Art Edler Brown, Katrina Devine, Adam Tuominen, Peter Rowley, Jason Chan, Grant McFarland, Jorge Vargas, Britta Hawkins, Bruce Hopkins, Sally Martin, Mark Hoffmeier, Katrina Browne, Mark Beesley, Glenn McMillan, Simon Riera, John Laing, M.L. Kessler","Pua Magasiva, Sally Martin, Glenn McMillan, Jason Chan, Katrina Browne",,,,,,6.5,1,
630187837X,Street Hunter,,,,,R,,,,,,,,,,5.0,,
B0042AH2I2,Katy Perry - Good Girl Gone Bad: Unauthorized Documentary,,English,,"December 7, 2010",Unrated,1 hour and 5 minutes,"Katy Perry first emerged on the scene with hits like ""Ur So Gay"" and ""I Kissed a Girl."" Her catchy sound and unique style has made her a favorite among rock and pop fans around the world. This documentary film goes beyond the music and explores her journey from a struggling gospel singer to a pop sensation. You will be intrigued by her personal story, ""Good Girl Gone Bad.""",,Katy Perry,,,NTSC,Documentary,,,,Reagal
B00020HBNW,"Tenchi Universe, Vol. 4 [DVD]",,"English, Japanese",,"July 13, 2004",Unrated,1 hour and 15 minutes,,,,,,,,,,,Geneon [Pioneer]
6303149073,Maestro Series: Flute,,,,,Unrated,,,,,,,,,,,,
6302139724,Westward Ho,,,,,,,,,,,,,,,5.7,,
6304276958,One More Shot [VHS],,,,,,,,,,,,,,,7.2,,
B000SKO8DC,The Complete Story Deftones,,English,,"August 7, 2007",NR,1 hour,"Deftones The Complete Story is an insiders look at the history, career and music of this immortal act; from their championing by fellow metal superstars Korn, to their influence on an entire generation. Packed with unseen footage, exclusive interviews an",,Deftones,,,,,,,,PRIDE
B00096S43U,The Nomi Song - The Klaus Nomi Odyssey,,"German, English",,,NR,1 hour and 38 minutes,"Born Klaus Sperber in Essen, Germany, Nomi dressed like an alien, sang like an angel, and electrified new wave-era New York. The classically trained tenor moved to the US in the 1970s. Influenced by Maria Callas, Marlene Dietrich, and 1950s sci-fi films, the ""opera-singing pastry chef,"" as writer Glenn O'Brien described him, developed a unique look and sound that stood apart from every other act to emerge from the East Village. At the height of his fame, he caught the eye of David Bowie, with whom he performed on ","David Bowie, Page Wood, Ron Johnsen, Kenny Scharf, Gabriele Lafari, Klaus Nomi, Ann Magnuson, Kristian Hoffman, David McDermott, Tony Frere, Anthony Scibelli, Man Parrish, Andrew Horn","Klaus Nomi, Ann Magnuson, David Bowie, Gabriele Lafari, David McDermott",,,"Multiple Formats, NTSC, Color, Widescreen",Music Videos & Concerts,,7.4,,Palm Pictures
B001MBE63I,Carmen (English Subtitled),,,2003,,18+,1 h 59 min,,,,Vicente Aranda,"Juan Alexander,Graham Bradstreet,Bill Chamberlain,Stefan Schmitz",,"Drama,Romance,Atmospheric,Emotional",,6.1,,Lionsgate
B0002V7TJM,Sugar Valentine: Pimp's Tale [VHS],,English,,"October 5, 2004",NR,1 hour and 35 minutes,,,"Sonray,Ingrid",,,,,,5.8,,Maverick
B0002V7TJC,Lost Boys of Sudan [VHS],,,,,,,"Winner of an Independent Spirit Award and named Best Documentary at the San Francisco International Film Festival, Lost Boys of Sudan follows two teenage Sudanese refugees on an extraordinary journey from Africa to America, offering a gripping and sobering peek into the myth of the American Dream. In the late 80s, Islamic fundamentalists in Sudan waged war on the countrys separatists, leaving behind over 20,000 male orphans, otherwise known as ""lost boys."" For those who survived this traumatic ordeal and found their way to refugee camps, some were chosen to participate in a resettlement program in America  a distant place so presumably full of hope and opportunity that the Sudanese sometimes call it Heaven. But what if a free ticket to ""Heaven"" turned out to be anything but? Sidestepping conventional voice-over narration in favor of real-time, close-quarters poignancy, Lost Boys of Sudan focuses on Santino and Peter, members of the Dinka tribe, during their first life-altering year in the United States. Safe at last from physical danger  but a world away from home the boys must grapple with extreme cultural differences as they come to understand both the abundance and alienation of contemporary American life.",,,,,,,,7.5,1,
B000GB5M5Q,Cartoon Network Christmas 3,,English,,,NR,1 hour and 47 minutes,,"Renee Raudman, Maxwell Atoms, Richard Steven Horvitz, Craig McCracken, Mo Willems, Geoff Berner, Greg Eagles, Dee Bradley Baker, John McIntyre, Joe Murray, Jane Carr, Rachael MacFarlane, Grey DeLisle, Jennifer Hale, Marlene Robinson May, Chris Cox, Vanessa Marshall, John Mein, Phil LaMarr","Greg Eagles, Richard Steven Horvitz, Grey DeLisle, Vanessa Marshall, Jennifer Hale",,,"Color, Dolby, Animated, NTSC, Subtitled, Dubbed",Animation,,6.4,,Cartoon Network
B0002V7TJW,Sugar Valentine: A Pimp's Tale [DVD],,English,,,NR,1 hour and 35 minutes,,,"Glenn Plummer, Ingrid Sonray",,,,,,5.8,,Maverick
B0012EM5GK,Death Note Vol. 4 (DVD) Standard Edition w/ Limited Figurine,,"English, Japanese",,"March 31, 2009",NR,1 hour and 40 minutes,,,Various,,,"Multiple Formats, Color, NTSC, Subtitled, Widescreen, Animated",Anime & Manga,,,,WarnerBrothers
B000MRA54M,All Lies on Me,,English,,"August 7, 2007",NR,1 hour and 14 minutes,"Back in the day, ""Dub Ridaz"" was one of the hottest crews in Hip-Hop, but the days of platinum records, sold-out shows and fly females are nothing but a memory. Now with no record deal and fading skills, they're forced to make a living flipping burgers and working other dead-end jobs. But Chances, the leader of the crew, and his boys are fed up and ready to get back in the game. Hooking up with a new record label that hatches a wild publicity stunt to promote the new Dub Ridaz album, it's a race against the clock for the group to pull off the PR scheme, pay back an old debt and make a hit record. The stakes are high, the odds are against them and all lies are on the Dub Ridaz in this hilarious Hip-Hop comedy!",,Fredro Starr,,,"Multiple Formats, Color, NTSC, Dolby, Widescreen",Action & Adventure,,6.0,,IMAGE ENTERTAINMENT
B0006FFRDO,Fighting Spirit: V.4 Dream of a K.O. (ep.16-20) [DVD],,"English, Japanese",,,NR,1 hour and 55 minutes,"Ippo and Takamura watch Miyata's bout, his second fight in the Eastern Japan Rookie ChampionshipTournament. Contrary to everybody's expectations, Miyata poses as an in-fighter. It is a decisive change in style in anticipation of the bout with Ippo. His lightning-fast counter takes his opponent down with ease. Miyata is unstoppable now. Ippo must train harder. With the help of Takamura and the Kamogawa Gym's gang, Ippo conquers his weakness and prepares himself for his next oppornent, Kobashi. Nobody thought Kobashi would be a serious threat to Ippo, but he falls for Kobashi's clever plot. The time is running out; Ippo can't win by points. He must K.O. Kobashi to win!",,,,,,,,,,Geneon [Pioneer]
B00096S43K,Rubi,,Spanish,,,G,11 hours and 40 minutes,"Rubi is an ambitious young woman, who all her life wanted to become rich. She studies in a private university, where she meets sweet and rich Maribel, and becomes her friend. Rubi is the only friend of Maribel, who doesnt know that she wants to be her friend only because of her money. When Hector, a young and handsome architect with whom Maribel had been chatting on the Internet arrives at Mexico, Rubi meets his friend, Alejandro. Alejandro and Rubi immediately fall in love. Hector proposes to Maribel and she accepts. When Rubi finds out that Alejandro isnt rich as she thought, she decides to break up with him and do everything in order to marry rich Hector, and finally get the life she always dreamed of.","Yadhira Carrillo, Sebasti�n Rulli, Eduardo Santamarina, Benjam�n Cann, Antonio Medell�n, Marlene Favela, Jacqueline Bracamontes, Eric Morales, Ana Mart�n, Ximena Su�rez, Virginia Quintana, Yolanda Vargas Dulch, Josefina Ech�nove, Araceli Guajardo, Ana Bertha Esp�n, B�rbara Mori, Paty D�az, Olivia Bucio","B�rbara Mori, Eduardo Santamarina, Jacqueline Bracamontes, Sebasti�n Rulli, Ana Mart�n",,,,,,8.0,,Xenon
6300213153,"Star Trek - The Original Series, Episode 11: Dagger of the Mind VHS",,,,"April 15, 1994",Unrated,,"Like the preceding episode ""What Are Little Girls Made Of?"", ""Dagger of the Mind"" is another mad-doctor drama. This time, Kirk delivers supplies to a penal colony on Tantalus V, where he meets the renowned Dr. Tristan Adams. Adams has been working on the development of a neural neutralizer to control and manipulate dangerous patients. When Kirk threatens to expose him as a dangerous megalomaniac, Adams uses the technology on the unfortunate captain. This tense piece set in a madhouse atmosphere makes for a riveting episode, with a few unhinged performances adding to the fun. ",,Star Trek Original Series,,,,,,7.4,,Paramount
6303955746,Segovia at Los Olivos [VHS],,,,"January 23, 1996",NR,57 minutes,Ships same day from a smoke free home in N.California.,,"Segovia,Andres",,,,,,,,Kultur Video
B0000060TP,Shyler's Friend,,English,,"June 10, 1997",,,vhs video tape format,,Dink & the Little Dinosaurs,,,,,,,,Turner Home Video
B00022VM5I,The Human Stain [VHS],,English,,,R,1 hour and 46 minutes,,"Andre Lamal, Kerry Washington, Bob Weinstein, Wentworth Miller, Anthony Hopkins, Gary Sinise, Jacinda Barrett, Harvey Weinstein, Gary Lucchesi, Nicole Kidman, Clark Gregg, Phyllis Newman, Robert Benton, Anna Deavere Smith, Nicholas Meyer, Philip Roth, Ed Harris, Harry Lennix, Eberhard Kayser, Lizan Mitchell","Anthony Hopkins, Nicole Kidman, Ed Harris, Gary Sinise, Wentworth Miller",,,,,,6.2,,
B002KBG4TS,Building In The Name Of God,,,,"June 9, 2006",NR,,,,Building in the Name of God,,,,,,,1,
B00020HBNC,Fushigi Yugi - The Mysterious Play (Vol. 1) [DVD],,"English, Japanese",,,NR,2 hours and 55 minutes,,,,,,,,,,,Geneon [Pioneer]
6301173147,Dot & Keeto VHS,,,,"April 1, 1992",NR,,,,"Robyn Moore, Keith Scott, Ashley Ayre, Lucy Charles, Leaf Nowland",,,,,,6.2,1,Lions Gate
B0042800WE,Thomas & Friends: Misty Island Rescue Movie,,English Dialogue Boost: Medium,2010,,ALL,58min,,,,Greg Tiernan,Nicole Stinn,,"Kids,Animation,Cheerful,Heartwarming",,4.7,,Lionsgate
B005G5PNOW,Wiggles: WiggleDancing! Live in the U.S.A.,,,2006,,ALL,1 h 18 min,,,,Paul Field,,,Kids,,7.9,,Warner Bros.
B0006FFRDE,Daphne in the Brilliant Blue - Initiation (Vol. 1) + Series Box,,"English, Japanese",,"March 1, 2005",Unrated,1 hour and 40 minutes,"Maia is having a very bad day. Her life-long dreams to join the elite Ocean Agency wither and die, when, despite everyone's high expectations, she fails the entrance exams. Then, with the loss of her student status, she gets evicted! Penniless, homeless, and unemployed, Maia finds herself in the middle of a shoot-out between fugitive convicts and the Nereides- sexy agents who only take the most high-paying and dangerous jobs. Desperate, Maia takes the first job offered to her: to take a starring role in the next Nereides operation- as bait!",,,,,,,,,,Geneon [Pioneer]
6301661869,Hostile Guns,,,,"January 25, 1995",,,,,"Montgomery, De Carlo, Hunter",,,,,,5.4,,Paramount Studio
6302760046,2001: A Space Odyssey [VHS],,,,"June 30, 1993",G,,EDITOR'S NOTE: According to a Warner Home Video technician involved in the production of ,,"Dullea, Sylvester",,,,,,8.3,,MGM (Video & DVD)
B006FYGF8Q,Smallville: The Complete Tenth Season (Special Edition with Smallville Daily Planet T-Shirt),,,,,,,,,,,,,,,7.5,,
B000PGDHHC,"TV Classics Collectors Edition: Dragnet starring Jack Webb : Seven TV Episodes on DVD (World's Most Famous Detective Series Vol. 2) Episodes include: Big Crime, Big Pair, Big Producer, Big Break, Big September Man, Big Betty & Big Trunk",,,,,G,,,,Jack Webb,,,DVD,Mystery & Thrillers,,,,Platinum Disc Corporation
B00000HF14,Tenchi Muyo 4:Mihoshi Falls [VHS],,,,"August 24, 1994",PG-13,30 minutes,,,Tenchi Muyo,,,,,,,,Geneon Entertainment
B001I7HLTW,Singh Is Kinng,,,,"October 15, 2008",PG,2 hours and 32 minutes,Original Studio 18 2 DVD Pack,"Katrina Kaif, Akshay Kumar, Javed Jaffrey, Ranvir Shorey, Om Puri, Anees Bazmee, Kiron Kher, Sonu Sood, Neha Dhupia","Akshay Kumar, Katrina Kaif, Sonu Sood, Om Puri, Neha Dhupia",,,"NTSC, Dolby, Widescreen",Bollywood,,5.8,,Studio 18
B0002EJ87U,Miffy and Friends: Something Surprising Happened! [VHS],,,,"January 11, 2005",NR,55 minutes,"Some very strange things are happening to Miffy and her friends. They hear strange noises, get lost, forget things, and have a few surprises. What could possibly be happening to Miffy and Friends? What should they do?",,MIFFY & FRIENDS,,,"Color, NTSC","MIFFY & FRIENDS Miffy and Friends: Something Surprising Happened!, Children's Music",,,,Sony Wonder
B009B6XA1U,Rebecca Of Sunnybrook Farm,,English,1938,,G,1 h 20 min,,,,Allan Dwan,"Darryl F. Zanuck,Raymond Griffith",,"Comedy,Arts, Entertainment, and Culture,Charming,Cheerful",,7.0,,Fox
B004EPYZQ2,Super 8 (Two-Disc Blu-ray/DVD Combo),,"English, Spanish, Portuguese, French",,"November 22, 2011",PG-13,1 hour and 52 minutes,"JJ Abrams and Steven Spielberg join forces in this extraordinary tale of youth, mystery, and adventure. ",,"Elle Fanning, Kyle Chandler, Joel Courtney, Ryan Lee, Zach Mills",,,"Multiple Formats, Color, Blu-ray, AC-3, Dolby, Dubbed, NTSC, Widescreen, Subtitled","Sci-Fi, Thriller, Mystery",,7.0,,Paramount Pictures
B00062IZGS,The Severed Arm [DVD],,English,,"October 12, 2004",Unrated,1 hour and 29 minutes,"Actors: Paul Carr, Marvin Kaplan, Deborah Walley, David G. Cannon, Roy Dennis Directors: Thomas S. Alderman Format: Closed-captioned, Color, NTSC Language: English Region: Region 1 (U.S. and Canada only. Read more about DVD formats.) Aspect Ratio: 1.33:1 Number of discs: 1 Rated: NR (Not Rated) Studio: Bci / Eclipse DVD Release Date: October 12, 2004 Run Time: 89 minutes Average Customer Review: 3.2 out of 5 stars See all reviews (4 customer reviews) ASIN: B00062IZGS","David G. Cannon, Vincent Martorano, John Crawford, Marvin Kaplan, Paul Carr, Deborah Walley, Roy Dennis, Thomas S. Alderman","Paul Carr, Marvin Kaplan, Deborah Walley, David G. Cannon, Roy Dennis",,,,,,,,Bci / Eclipse
B000I0RVSG,BEKHUDI,,Hindi,,"July 31, 2003",,2 hours and 40 minutes,,,"Kajol, Kamal Sadanah, Tanuja",,,,,,4.3,,Baba Traders
B00284EM3M,Claymore: Chapter 6 - The Awakening,,"Japanese, English",,"July 14, 2009",Unrated,1 hour and 40 minutes,"A brutal scourge stalks the land. Yoma, monsters driven by a hunger satisfied by only one quarry – Humanity. The dark breed knows but a singular foe: Claymore. Human-Yoma hybrids of extraordinary strength and cunning, the Claymores roam from skirmish to skirmish delivering salvation by the edge of a blade. ",,,,,,,,,,Funimation Prod
B00062IZGI,The Three Stooges: Disorder in the Court/Sing a Song of Six Pants/Malice in the Palace/Brideless Groom [DVD],,English,,"October 12, 2004",Unrated,1 hour,The Three Stooges: Disorder in the Court Sing a Song of Six Pants Malice in the Palace Brideless Groom,,"Fine, Larry, Howard, Moe, Howard, Curly",,,,,,,,Bci / Eclipse
B003QWVPTE,Bratz Babyz The Movie/ Bratz Super Babyz - Double Feature [DVD],,English,,"August 31, 2010",NR,2 hours and 20 minutes,"Includes two full-length Bratz features including BRATZ BABYZ® THE MOVIE and BRATZ SUPER BABYZ™. BRATZ BABYZ THE MOVIE: The Bratz Babyz spring into action when an older bully “petnaps” a puppy belonging to their good friends, twins Nora and Nita! After naptime, the Bratz Babyz embark on their mall mission – to try and trick the bully into parting with the puppy, and to round up the $50(!) that the bully wants for ransom. It's one adventure after another as they dive for coins in a fountain, perform in a karaoke contest and ultimately confront their foe. But will they free the puppy? One thing's for sure – anyone who teams up with the Bratz Babyz is bound to come out a winner! BRATZ SUPER BABYZ: Look! Up in the air – it's a bottle, a pacifier, a diaper? No, it's Bratz Super Babyz in an out-of- this-world movie. When the babysitter, Gran, finds a “matter exchanger” dropped off by aliens from outer space, she accidentally pushes the button and “zap!” The Bratz Babyz are transformed into Bratz Super Babyz. The Bratz Babyz decide to use their powers for good, but face a challenge bigger than even needing changing. The aliens return to find their matter exchanger, and the Bratz Babyz must square off without their new super powers. By overcoming their shortcomings and by working as a team, the Bratz Babyz discover they were already more powerful than an extra-absorbent diaper!",,,,, ,Action & Adventure,,3.6,,Lions Gate Home Entertainment
B000CNET2A,Spaghetti Westerns,,English,,"February 7, 2006",Unrated,13 hours and 52 minutes,,,"Jack Palance, William Shatner, Guy Madison",,,"Multiple Formats, Color, Box set, Full length, Dolby, NTSC, Original recording remastered",Westerns,,,,St Clair Vision
B00000IC84,"Three Stooges, 2 Pack [DVD]",,English,,"February 1, 2000",Unrated,1 hour and 50 minutes,,"Edward Bernds, Johnny Kascier, Jack White, Shemp Howard, Tiny Brauer, Larry Fine, Moe Howard, Virginia Hunter, Felix Adler, Dee Green, Emil Sitka, Christine McIntyre, Doris Houck, Alyn Lockwood, Clyde Bruckman, Jules White, Nancy Saunders","Moe Howard, Larry Fine, Shemp Howard, Dee Green, Christine McIntyre",,,"DVD, NTSC, Box set, Dolby, Black & White",Comedy,,8.0,,Madacy Records
B000CNET2K,Psycho-Rama [DVD],,English,,"February 7, 2006",R,13 hours and 12 minutes,,,"Anthony Perkins, Jack Palance, John Savage",,,,,,8.5,,St Clair Vision
B00000IC80,Pot O' Gold/Made For Each Other [DVD],,English,,"November 9, 1999",Unrated,3 hours,"Classic collection of two classic Stewart films:POT O' GOLD: A comedy about a boy who manages to get Horace Heidt's Band on his uncle's radio program. Art Carney's screen debut.MADE FOR EACH OTHER:A romantic drama about a young couple whose love is tested by meddling inlaws, poverty and illness. Edition: 2-Disc Set Number of Discs: 2","Charles Winninger, Monte Brice, Haydn Roth Evans, Carole Lombard, Paulette Goddard, Frank Ryan, Harry Tugend, Andrew Bennison, Jed Prouty, Dick Hogan, John Cromwell, James Burke, Mary Gordon, Donna Wood, Horace Heidt, George Marshall, Jo Swerling, Charles Arnt, James Stewart, Frank Melton","James Stewart, Paulette Goddard, Horace Heidt, Carole Lombard, Charles Winninger",,,,,,6.0,,Madacy Records
B00000IC89,John Wayne 2 Pack (The Man from Utah / The Star Packer / Sagebrush Trail / Riders of Destiny) [DVD],,English,,"March 2, 1999",NR,3 hours and 40 minutes,"DVD 2 Pack John Wayne Included: The Man from Utah, The Star Packer Sagebrush Trail and Riders of Destiny DVD never been opened","Armand Schaefer, Yakima Canutt, Davie Aldrich, Billy Franey, Frank Ball, Earl Dwire, Thomas G. Lingham, John Wayne, Eddie Parker, George 'Gabby' Hayes, Verna Hillie, George Cleveland, Robert N. Bradbury, Arthur Millett, Will Beale, Lindsley Parsons","John Wayne, Verna Hillie, George 'Gabby' Hayes, Yakima Canutt, Billy Franey",,,,,,5.1,,Madacy Records
